id,naam,plaats,lat,lon,website,omschrijving,omschrijving_en
auc-amsterdam,AUC,Amsterdam,52.3429,4.9318,http://www.amsterdamultimate.com,Ultimate frisbee vereniging in Amsterdam. Traint bij Sportpark Drieburg.,Ultimate frisbee club in Amsterdam. Trains at Sportpark Drieburg.
bfrisbee2-s-nijmegen,BFrisBee2's,Nijmegen,51.81883,5.8675,http://www.bfrisbee2s.nl,Ultimate frisbee vereniging in Nijmegen. Traint bij Radboud Sportcentrum.,Ultimate frisbee club in Nijmegen. Trains at Radboud Sportcentrum.
bluefingers-ultimate-zwolle,Bluefingers Ultimate,Zwolle,52.50244,6.1187,http://www.bluefingersultimate.nl,Ultimate frisbee vereniging in Zwolle. Traint bij Sportpark de Marslanden.,Ultimate frisbee club in Zwolle. Trains at Sportpark de Marslanden.
disc-devils-twente-enschede,Disc Devils Twente,Enschede,52.2057,6.90283,http://www.discdevilstwente.nl,Ultimate frisbee vereniging in Enschede. Traint bij Trainingsveld J.J. van Deinselaan.,Ultimate frisbee club in Enschede. Trains at Trainingsveld J.J. van Deinselaan.
discover-ultimate-frisbee-wageningen-wageningen,Discover Ultimate Frisbee Wageningen,Wageningen,51.98177,5.66872,https://www.frisbeewageningen.nl,Ultimate frisbee vereniging in Wageningen. Traint bij Sportcentrum De Bongerd.,Ultimate frisbee club in Wageningen. Trains at Sportcentrum De Bongerd.
fc-airborn-arnhem,FC Airborn,Arnhem,51.99932,5.94464,http://www.fcairborn.nl,Ultimate frisbee vereniging in Arnhem. Traint bij Velden Oost-Arnhem.,Ultimate frisbee club in Arnhem. Trains at Velden Oost-Arnhem.
fg-de-scheive-schief-venlo,FG de Scheive Schief,Venlo,51.37499,6.11724,https://fgdescheiveschief.nl/,Ultimate frisbee vereniging in Venlo. Traint bij Sportpark de Maashof.,Ultimate frisbee club in Venlo. Trains at Sportpark de Maashof.
flying-high-tilburg,Flying High,Tilburg,51.57774,5.10445,http://www.flyinghightilburg.nl,Ultimate frisbee vereniging in Tilburg.,Ultimate frisbee club in Tilburg.
force-elektro-delft,Force Elektro,Delft,51.99555,4.37641,http://www.force-elektro.nl,Ultimate frisbee vereniging in Delft. Traint bij Sportcentrum X TU Delft.,Ultimate frisbee club in Delft. Trains at Sportcentrum X TU Delft.
frisbeevereniging-woerden-woerden,Frisbeevereniging Woerden,Woerden,52.07601,4.87688,http://frisbeewoerden.nl/,Ultimate frisbee vereniging in Woerden. Traint bij Sportpark Cromwijck.,Ultimate frisbee club in Woerden. Trains at Sportpark Cromwijck.
gronical-dizziness-groningen,Gronical Dizziness,Groningen,53.23926,6.55578,http://www.gronicaldizziness.nl,Ultimate frisbee vereniging in Groningen. Traint bij Sportpark Het Noorden.,Ultimate frisbee club in Groningen. Trains at Sportpark Het Noorden.
grut-amsterdam,GRUT,Amsterdam,52.37344,4.90454,,Ultimate frisbee vereniging in Amsterdam.,Ultimate frisbee club in Amsterdam.
mug-haarlem,MUG,Haarlem,52.3644,4.61632,https://frisbeehaarlem.nl/,Ultimate frisbee vereniging in Haarlem. Traint bij Sportpark Eindenhout.,Ultimate frisbee club in Haarlem. Trains at Sportpark Eindenhout.
nuts-amsterdam,NUTS,Amsterdam,52.34148,4.9303,http://www.ultimatenuts.nl,Ultimate frisbee vereniging in Amsterdam. Traint bij Sportpark Drieburg.,Ultimate frisbee club in Amsterdam. Trains at Sportpark Drieburg.
panic-ultimate-leiden,PANIC Ultimate,Leiden,52.14528,4.47781,http://www.panic-ultimate.nl,Ultimate frisbee vereniging in Leiden.,Ultimate frisbee club in Leiden.
quick-nijmegen,Quick,Nijmegen,51.83128,5.82367,https://www.quick1888.nl/1287/ultimatefrisbee/,Ultimate frisbee vereniging in Nijmegen. Traint bij Sportpark De Dennen.,Ultimate frisbee club in Nijmegen. Trains at Sportpark De Dennen.
r-damnit-rotterdam,R'Damnit,Rotterdam,51.90699,4.47436,http://www.ultimaterotterdam.nl,Ultimate frisbee vereniging in Rotterdam. Traint bij Het Park.,Ultimate frisbee club in Rotterdam. Trains at Het Park.
remix-delft,Remix,Delft,52.0076,4.3401,https://www.remixultimate.com/,Ultimate frisbee vereniging in Delft. Traint bij DVV Delft.,Ultimate frisbee club in Delft. Trains at DVV Delft.
swamp-dragon-den-bosch,Swamp Dragon,Den Bosch,51.69293,5.27748,http://www.swampdragon.nl,Ultimate frisbee vereniging in Den Bosch. Traint bij Sportvelden VC CHC.,Ultimate frisbee club in Den Bosch. Trains at Sportvelden VC CHC.
tmc-ultimate-utrecht,TMC Ultimate,Utrecht,52.08869,5.0952,,Ultimate frisbee vereniging in Utrecht.,Ultimate frisbee club in Utrecht.
ufo-utrecht,UFO,Utrecht,52.11375,5.1008,http://www.ufofrisbee.nl,Ultimate frisbee vereniging in Utrecht. Traint bij Sportpark de Vechtzoom.,Ultimate frisbee club in Utrecht. Trains at Sportpark de Vechtzoom.
ultimaas-maastricht,UltiMaas,Maastricht,50.86141,5.72348,http://www.ultimaas.nl,Ultimate frisbee vereniging in Maastricht. Traint bij Sportpark Geusselt.,Ultimate frisbee club in Maastricht. Trains at Sportpark Geusselt.
ultimus-prime-rijswijk,Ultimus Prime,Rijswijk,52.035,4.30157,http://www.ultimusprime.com,Ultimate frisbee vereniging in Rijswijk. Traint bij Sportpark Prinses Irene.,Ultimate frisbee club in Rijswijk. Trains at Sportpark Prinses Irene.
utka-utrecht,UTKA,Utrecht,52.09115,5.17513,http://www.utka-ultimate.nl,Ultimate frisbee vereniging in Utrecht. Traint bij Sportcentrum Olympos.,Ultimate frisbee club in Utrecht. Trains at Sportcentrum Olympos.
veenendaal-tijgers-veenendaal,Veenendaal Tijgers,Veenendaal,52.02886,5.53984,https://veenendaaltijgers.nl/,Ultimate frisbee vereniging in Veenendaal. Traint bij Sportpark GVVV.,Ultimate frisbee club in Veenendaal. Trains at Sportpark GVVV.
vertigo-eindhoven,Vertigo,Eindhoven,51.41159,5.48048,http://www.vertigo-frisbee.nl,Ultimate frisbee vereniging in Eindhoven. Traint bij Genneper Parken.,Ultimate frisbee club in Eindhoven. Trains at Genneper Parken.
waf-wageningen,WAF,Wageningen,51.9812,5.6697,http://www.waf.wur.nl,Ultimate frisbee vereniging in Wageningen. Traint bij Sportcentrum De Bongerd.,Ultimate frisbee club in Wageningen. Trains at Sportcentrum De Bongerd.
